Company,Role,Job_Code,JD_Link,Raw_JD_Text_File,Raw_JD_Text_Snippet,CPI_Cutoff,CTC_BTech,Gross_Salary_BTech
N/A,N/A,9020,https://campus.placements.iitb.ac.in/applicant/job/9020,fetched_jds\NA_NA_9020.txt,"Job Details
【
Technology
Field
】
Machine Learning
【
Position Summary
】
We aim to develop groundbreaking tools and services
through the application of AI to data science. On our team, you will gain
hands-on experience with exploratory and challenging projects, ranging from
research and development to the development of new services using research
results.
As such, you will be responsible for the research and development of
reinforcement learning algorithms in a project that focuses on the applica",N/A,N/A,N/A
N/A,N/A,9022,https://campus.placements.iitb.ac.in/applicant/job/9022,fetched_jds\NA_NA_9022.txt,"Job Details
【
Technology
Field
】
System Software,
Software Engineering
【
Position Summary
】
We at Sony have endeavored to not only create
groundbreaking products, but also change lifestyles by applying our
cutting-edge technologies to movies, music, games, and electronics. Today, we
are tackling new challenges in the realm of robotics and mobility. As such, we
are seeking exceptional and passionate individuals who are ready to captivate
hearts and minds through their contributions to the develop",N/A,N/A,N/A
N/A,N/A,9024,https://campus.placements.iitb.ac.in/applicant/job/9024,fetched_jds\NA_NA_9024.txt,"Job Details
【
Technology
Field
】
Application Software,
Network Service
【
Position Summary
】
Sony is developing advanced technologies to build a
creator economy system that is attracting attention in the Web3 domain, and is
also developing security technologies to protect the rights and privacy of
creators and users. Sony is also conducting demonstration experiments to
develop applications and implement blockchain technology in the entertainment
and finance fields.
【
Responsibilities
】
Web3 Techn",N/A,N/A,N/A
N/A,N/A,9025,https://campus.placements.iitb.ac.in/applicant/job/9025,fetched_jds\NA_NA_9025.txt,"Job Details
【
Technology Field
】
Security,
Computer Vision
【
Position Summary
】
We are developing security related technology in the
fields of applied cryptograpy and watermarking which are utilized to protect
user's privacy and ensure authenticity of creative works such as image, video
etc. By collaborating with teams throughout Sony Group working in diverse
business domains including music, movie, finance, consumer electronics and new
Web3 businesses, there are a lot of opportunities to develo",N/A,N/A,N/A
N/A,N/A,9026,https://campus.placements.iitb.ac.in/applicant/job/9026,fetched_jds\NA_NA_9026.txt,"Job Details
【
Technology Field
】
Natural Language Processing,
Machine Learning
【
Position Summary
】
Our team is building a wide range of natural language
processing technologies intended to be applied to entertainment content
creation and business data analysis.
You will work on advanced research in natural language processing. Your main
task will be the research and development of multilingual LLM and downstream
task for content creation intended to reduce hurdles for content distribution
and m",N/A,N/A,N/A
N/A,N/A,9034,https://campus.placements.iitb.ac.in/applicant/job/9034,fetched_jds\NA_NA_9034.txt,"Job Details
【
Technology
Field
】
Data Analysis,
Machine Learning
【
Position Summary
】
For this position, we are looking for researchers with
strong expertise in data science and machine learning, including causal
inference, recommender systems, sports analysis, or related fields. Candidates
should be capable of developing and evaluating such algorithms using real data
from commercial services.
Sony group aims to engage with over 1 billion users through its
direct-to-consumer (DTC) services. To a",N/A,N/A,N/A
N/A,N/A,9036,https://campus.placements.iitb.ac.in/applicant/job/9036,fetched_jds\NA_NA_9036.txt,"Job Details
【
Technology Field
】
Computer Graphics,
System Software
【
Position Summary
】
We, the XR System Technology Development Department, are
a division of the Technology Development Laboratories located in Tokyo, Japan.
Our mission is to spearhead the development of XR (Extended Reality) core
technologies and pave the way for launching new XR business ventures.
At our department, we focus on three key areas that serve as the foundation for
XR technology advancements:
a) Developing System Te",N/A,N/A,N/A
N/A,N/A,9037,https://campus.placements.iitb.ac.in/applicant/job/9037,fetched_jds\NA_NA_9037.txt,"Job Details
【
Technology Field
】
Software Engineering,
Software testing, System testing, Test automation,
Software quality assurance
【
Position Summary
】
We are in charge of quality assurance work for software
installed in single-lens cameras (
α
series), VLOG cameras, professional video cameras (VENICE, BURANO),
Emount lenses, and remote camera series (BRC, SRG series, FR7).In recent years,
in addition to the evolution of technologies such as automatic subject
recognition technology and AF tech",N/A,N/A,N/A
N/A,N/A,9039,https://campus.placements.iitb.ac.in/applicant/job/9039,fetched_jds\NA_NA_9039.txt,"Job Details
【
Technology Field
】
Speech/Audio Signal Processing,
Machine Learning
【
Position Summary
】
Sony has created life-changing values to fill
the world with emotion through the power of creativity and technology.
At Sony Technology Development Laboratories (TDL) we've contributed to Sony's
various products and services to create Kando and social value with our
technological power and expertise.
Our audio research group in TDL focuses on development of cutting-edge audio
signal processing ",N/A,N/A,N/A
N/A,N/A,8942,https://campus.placements.iitb.ac.in/applicant/job/8942,fetched_jds\NA_NA_8942.txt,"Job Details
Flow Traders is looking
for students interested in being Graduate Traders to join our growing Trading
team in Hong Kong. The ideal candidate is competitive, driven and passionate
about the financial markets. This is a unique opportunity to join a leading
proprietary trading firm with an entrepreneurial and innovative culture at the
heart of its business. We value quick-witted, creative minds and challenge them
to make full use of their capacities.
What you will do
As a Graduate Trade",N/A,N/A,N/A
